club;rate
1. FC Heidenheim 1846;35.23
1. FC Köln;70.49
1. FC Magdeburg;0
1. FC Nürnberg;35.23
1. FSV Mainz 05;70.49
TSV 1860 München;0
Aalborg BK;41.06
Aalesunds FK;0
Aarhus GF;41.06
Aberdeen;31.50
Abha Club;0
AC Ajaccio;32.11
AC Horsens;41.06
Academica;0
Accrington Stanley;22.45
AD Alcorcón;35.20
Adelaide United;28.15
Admira Wacker;44.13
ADO Den Haag;44.98
Bournemouth;48.58
AFC Wimbledon;22.45
AIK;30.86
AJ Auxerre;32.11
Ajax;44.98
Al Adalah;0
Al Ahli;0
Al Faisaly;0
Al Fateh;0
Al Fayha;0
Al Hazem;0
Al Hilal;0
Al Ittihad;0
Al Nassr;0
Al Raed;0
Al Shabab;0
Al Taawoun;0
Al Wehda;0
Alanyaspor;41.83
Albacete BP;35.20
Aldosivi;43.66
Club América;44.84
Amiens SC;32.11
Angers SCO;61.40
Antalyaspor;41.83
Argentinos Jrs;43.66
Arsenal;74.43
Arsenal;43.66
AS Monaco;61.40
AS Saint-Étienne;61.40
Aston Villa;74.43
Astra Giurgiu;0
Atalanta;65.63
Athletic Club de Bilbao;72.18
Athletico-PR;51.27
Atlanta United;38.25
Club Atlas;44.84
Atlético Madrid;72.18
Atlético de San Luis;44.84
Atlético Mineiro;51.27
Atlético Tucumán;43.66
Atlético-GO;51.27
AZ Alkmaar;44.98
Bahia;51.27
Banfield;43.66
Barnsley;48.58
Barrow;0
Başakşehir;41.83
BB Erzurumspor;41.83
Beijing Guoan;42.01
Os Belenenses;50.02
Benevento;65.63
Beşiktaş JK;41.83
DSC Arminia Bielefeld;70.49
Birmingham City;48.58
BK Häcken;30.86
Blackburn Rovers;48.58
Blackpool;22.45
Boavista FC;50.02
Bohemian FC;0
Bologna;65.63
Bolton;0
FC Girondins de Bordeaux;61.40
Botafogo;51.27
Bradford City;0
Eintracht Braunschweig;35.23
Brentford;48.58
Brighton & Hove Albion;74.43
Brisbane Roar;28.15
Bristol City;48.58
Bristol Rovers;22.45
Brøndby IF;41.06
BSC Young Boys;44.68
Buenos Aires;43.66
Burnley;74.43
Burton Albion;22.45
Busan IPark;0
CA Osasuna;72.18
Cádiz CF;72.18
Cagliari;65.63
Cambridge United;0
Cardiff City;48.58
Carlisle United;0
Çaykur Rizespor;41.83
C.D. Castellón;35.20
CD Leganés;35.20
CD Lugo;35.20
CD Mirandés;35.20
CD Tenerife;35.20
CD Tondela;50.02
CE Sabadell;35.20
Ceará SC;51.27
Celtic;31.50
Central Coast;28.15
Central Córdoba;43.66
KSV Cercle Brugge;43.16
Cerezo Osaka;31.48
CF Fuenlabrada;35.20
CFR 1907 Cluj;0
Charlton Athletic;22.45
Châteauroux;32.11
Chelsea;74.43
Cheltenham Town;0
Chicago Fire;38.25
Chindia;0
Chongqing SWM;42.01
Clermont;32.11
Club Brugge;43.16
Colchester United;0
Colón;43.66
Colorado Rapids;38.25
Columbus Crew SC;38.25
Coritiba;51.27
Cork City;0
Coventry City;48.58
Cracovia;0
Crawley Town;0
Crewe Alexandra;22.45
Crotone;65.63
Cruz Azul;44.84
Crystal Palace;74.43
Deportivo Alavés;72.18
DC United;38.25
Daegu FC;0
Dalian Pro;42.01
Damac FC;0
Defensa y Justicia;43.66
Denizlispor;41.83
Derby County;48.58
Derry City;0
Dijon FCO;61.40
Djurgårdens IF;30.86
Doncaster;22.45
Borussia Dortmund;70.49
Dundalk;0
Dundee United;31.50
Fortuna Düsseldorf;35.23
SG Dynamo Dresden;0
En Avant de Guingamp;32.11
Elche CF;72.18
Erzgebirge Aue;35.23
Estudiantes;43.66
Ettifaq FC;0
Everton;74.43
Excel Mouscron;43.16
Exeter City;0
FC Tokyo;31.48
Falkenbergs FF;30.86
Farense;50.02
FC Argeș;0
FC Augsburg;70.49
FC Barcelona;72.18
FC Basel 1893;44.68
FC Bayern München;70.49
Bayern München II ;0
FC Botoşani;0
FC Cartagena;35.20
FC Chambly;32.11
FC Cincinnati;38.25
FC Dallas;38.25
FC Dinamo 1948;0
FC Emmen;44.98
Famalicão;50.02
FC Groningen;44.98
FC Hermannstadt;0
FC Ingolstadt;0
FC Juárez;44.84
FC København;41.06
FC Lorient;61.40
FC Lugano;44.68
FC Luzern;44.68
FC Metz;61.40
FC Midtjylland;41.06
FC Nantes;61.40
FC Nordsjælland;41.06
FC Porto;50.02
FC Schalke 04;70.49
FC Seoul;0
FC Sion;44.68
FC St. Gallen;44.68
FC St. Pauli;35.23
FC Twente;44.98
FC Utrecht;44.98
FC Vaduz;44.68
FC Viitorul;0
FC Voluntari;0
FC Zürich;44.68
FCSB;0
FCSM;32.11
Fenerbahçe SK;41.83
Feyenoord;44.98
Finn Harps;0
Fiorentina;65.63
FK Austria Wien;44.13
FK Bodø/Glimt;0
FK Haugesund;0
